Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Kaching,https://www.crunchbase.com/organization/kaching,"Cloud Storage, E-Commerce, Enterprise Software, Mobile Apps, Mobile Payments, Point of Sale, Retail, Retail Technology",Kaching develops a cloud-based mobile retail platform.,"13,923",11-50,2019-05-29,2016-01-01,year,https://www.linkedin.com/company-beta/16161125/,https://kachingretail.com/,hello@kachingretail.com,,,Mathias Plank,Venture - Series Unknown,,,,1,"Swedbank, EASME - EU Executive Agency for SMEs, NFT Ventures, Brightly Ventures, Collector Ventures",,,,,4000000,GBP,5051678
Wolf & Badger,https://www.crunchbase.com/organization/wolf-badger,"E-Commerce, Fashion, Jewelry, Retail","Wolf & Badger is a multi-channel retail platform for the finest independent, ethical and unique brands from around the globe.","13,951",11-50,2019-04-22,2010-02-01,day,https://www.linkedin.com/company/wolf-&-badger,https://www.wolfandbadger.com,support@wolfandbadger.com,+44 20 7229 4848,,"George Graham, Henry Graham",Venture - Series Unknown,,,,2,Guinness Asset Management,,,,1,4500000,GBP,5841493
Mockingbird,https://www.crunchbase.com/organization/mockingbird-e687,"Consumer Goods, Drones, E-Commerce, Fashion, Leisure",Mockingbird is a new baby gear brand on a mission to empower parents.,"14,074",1-10,2019-02-26,2019-01-01,year,https://www.linkedin.com/company/hellomockingbird/about/,https://hellomockingbird.com/,support@hellomockingbird.com,+1 646-933-1290,,Eric Osman,Seed,Seed,,,1,Rick Heitzmann,,,,,1600000,USD,1600000
Kapiva Ayurveda,https://www.crunchbase.com/organization/kapiva-ayurveda,"E-Commerce, Retail",Kapiva Ayurveda is a fast-growing Ayurvedic food brand.,"14,226",,2019-01-25,2016-01-01,year,https://www.linkedin.com/company/kapivaayurveda/,https://www.kapiva.in/,info@kapiva.in,+91-8291 147 064,,"Ameve Sharma, Shrey Badhani",Seed,Seed,,,2,"Fireside Ventures, GITS Foods, Madhu Kela",,,,,2500000,USD,2500000
The Faction Collective,https://www.crunchbase.com/organization/faction-skis,"E-Commerce, Manufacturing, Sporting Goods",The Faction Collective manufactures high-performance freeride and freestyle skis.,"14,268",11-50,2019-04-23,2006-01-01,year,https://www.linkedin.com/company/the-faction-collective,http://www.factionskis.com/en,,41 79 729 94 93,,"Alex Hoye, Tony McWilliam",Venture - Series Unknown,,,,2,"Crowdcube, GoBeyond, Chung Ng, Octopus Investments, Dave Morin",,,,,,,
Co-op,https://www.crunchbase.com/organization/co-op,"Consumer, E-Commerce, Financial Services, Retail","Co-op, home to Food, Insurance, Funeralcare, Legal Services and Electrical","14,432",10001+,2019-05-28,1844-01-01,year,https://www.linkedin.com/company/the-co-op-group/,https://www.coop.co.uk/,membershipcontactus@coop.co.uk,,,,Debt Financing,,,,,,,,,2,300000000,GBP,379763660
CoEdition,https://www.crunchbase.com/organization/coedition,"E-Commerce, Retail","CoEdition, a curated ecommerce platform for brands focused on underserved markets.","14,592",1-10,2019-03-26,2017-01-01,year,https://www.linkedin.com/company/co-edition/,https://coedition.com/,,,,"Brooke Cundiff, Keith George, Kent Helbig, Kevin Ryan",Seed,Seed,,,4,"General Catalyst, New Enterprise Associates, Social Starts, Primary Venture Partners, BBG Ventures",,,,,,,
Vntrip.vn,https://www.crunchbase.com/organization/vntrip-vn,"E-Commerce, E-Commerce Platforms, Leisure, Tourism, Travel, Travel Agency",Vntrip is an e-commerce company that aims to build and develop the largest and most modern online portal in the field of tourism in Vietnam.,"14,613",51-100,2019-03-18,2014-01-01,year,,https://www.vntrip.vn/,,,,"Lam Le Dac, Thai Nguyen",Venture - Series Unknown,,,,2,"FengHe Group, Hendale Capital, Jian Wang, IHAG Holding",,,,,,,
Selz,https://www.crunchbase.com/organization/selz,"E-Commerce, EBooks, Online Portals",Selz is the Ecommerce Platform for growing businesses. A fully featured ecommerce solution for business of all sizes.,"14,679",11-50,2019-01-10,2013-05-20,day,http://www.linkedin.com/company/3123031,http://selz.com,support@selz.com,,,"Martin Rushe, Mathieu Kempe",Series A,Early Stage Venture,,,2,Macdoch Ventures,,,,,5000000,USD,5000000
SODA SAYS,https://www.crunchbase.com/organization/soda-says,"E-Commerce, Internet, Women's",SODA SAYS is building the leading lifestyle destination for understanding and shopping technology products.,"14,750",11-50,2019-05-29,2017-09-01,month,https://www.linkedin.com/company/soda.says,https://sodasays.com,hello@soda.shop,,,Grace Gould,Seed,Seed,,,1,"LocalGlobe, ADV, Liam Casey",,,,,2500000,USD,2500000
Fabulyst,https://www.crunchbase.com/organization/fabulyst,"Artificial Intelligence, E-Commerce, Fashion, Lifestyle, Machine Learning, Online Portals, Shopping","Fabulyst is an AI engine that works as a virtual personal stylist, solving modern women's style aspirations.","14,908",11-50,2019-01-07,2016-05-14,day,,http://www.fabulyst.com,support@mail.net,+0991234286,,"Komal Prajapati, Raj Parakh, Vikas Jethnani, Vishal Chitravanshi",Pre-Seed,Seed,,,4,"XRC Labs, GenNext Ventures, 50K Ventures, iB Hubs, The IIIT-H Foundation",,,,,135000,USD,135000
Sempli,https://www.crunchbase.com/organization/sempli,"E-Commerce, Financial Services, Lending, Online Portals, Small and Medium Businesses",Sempli is an online lending platform for small businesses in Colombia.,"14,996",11-50,2019-04-30,2016-08-01,day,https://www.linkedin.com/company/sempli.co/,http://www.sempli.co,contact@sempli.co,+57 (4) 322 5002,,"Esteban Velasco, Felipe Llano",Series A,Early Stage Venture,,,2,"Oikocredit International, Inter American Development Bank, IDB Lab, Alphamundi, Ruta N",,,,,6500000,USD,6500000
Flowerbx,https://www.crunchbase.com/organization/flowerbx,"E-Commerce, Fashion, Staffing Agency","Flowerbx is an online, wholesale, flower-delivery service.","15,056",,2019-02-22,2015-01-01,year,https://www.linkedin.com/company/flowerbx/,http://www.flowerbx.com,,,,"Adam Wilkie, Whitney Hawkings",Series A,Early Stage Venture,,,2,"Finn Capital Partners, Alexander Edward Chesterman, Natalie Massenet, Carmen Busquets, Rupert Hambro",,,,,4200000,GBP,5482262
Guuru,https://www.crunchbase.com/organization/guuru-io,"Communications Infrastructure, E-Commerce, Information Technology, Messaging, Software",Customer service at scale with the help of your community.,"15,101",11-50,2019-03-08,2016-10-15,day,https://www.linkedin.com/company/guuru,https://guuru.com,hello@guuru.com,+41 41 530 04 64,,"Antoine Meier, Benno Marbach, Tonio Meier",Venture - Series Unknown,,,,3,"investiere | Verve Capital Partners, Wayra, Gentian Investments, Swiss Post, Equitypitcher",,,,,2700000,CHF,2677641
OSF Global Services,https://www.crunchbase.com/organization/osf-global-services,"CRM, Data Integration, E-Commerce","OSF Global Services achieves its success by establishing meaningful, unwavering values that we apply to every aspect of our business.","15,232",501-1000,2019-05-07,2003-01-01,year,https://www.linkedin.com/company/osf-global-services,http://www.osf-global.com,info@osf-global.com,888-548-4344,,Gerard Szatvanyi,Venture - Series Unknown,,,,1,"Salesforce Ventures, Delta-v Capital",,,,,23000000,USD,23000000
Fyndiq,https://www.crunchbase.com/organization/fyndiq,"E-Commerce, Information Technology, Internet, Retail","Fyndiq.se - the Swedish Bargain Superstore, connecting merchants with bargain hunters","15,446",51-100,2019-01-28,2009-08-01,day,http://www.linkedin.com/company/fyndiq-ab,https://fyndiq.se/,press@fyndiq.se,46 8 41 04 06 56,,"Dan Nilsson, David Brudö, Dinesh Nayar, Fredrik Norberg",Venture - Series Unknown,,,,4,"Northzone, Industrifonden, Karl-Johan Persson",,,,,35400000,SEK,3909722
Moonlighting,https://www.crunchbase.com/organization/moonlighting,"Big Data, Digital Media, E-Commerce, Human Resources, Information Services, Information Technology, Location Based Services, Mobile, Social Media","Moonlighting is the first on-demand, mobile marketplace that empowers people to get things done and make extra money.","15,466",11-50,2019-04-12,2012-01-01,year,https://www.linkedin.com/company/moonlighting-llc,https://www.moonlighting.com/,support@moonlighting.com,(415) 506-7719,,"Jeff Tennery, Ritesh Johar, Roy Slater",Venture - Series Unknown,,,,3,"Tronc, FinLab, The McClatchy Company, Gannett Co Inc, NRV",,,,,,,
TagBox,https://www.crunchbase.com/organization/tagbox,"Analytics, E-Commerce, Information Technology, Internet",TagBox is a creating more reliable and sustainable cold chains. They do so through solutions at the intersection of Internet of Things,"15,683",1-10,2019-05-09,2016-01-01,year,https://www.linkedin.com/company/tagbox-solutions/,http://www.tagbox.in/,contactus@tagbox.in,+919535964140,,"Adarsh Kumar, Saumitra Singh",Series A,Early Stage Venture,,,2,"Indian Angel Network, TVS Motor Company, IAN Fund, Naveen Gupta, Dinesh Goel",,,,,3850000,USD,3850000
Market Beyond,https://www.crunchbase.com/organization/market-beyond,"E-Commerce, Information Services, Information Technology",Market Beyond is an e-commerce analytics company.,"15,702",11-50,2019-04-16,2016-01-01,year,https://www.linkedin.com/company/market-beyond/,https://themarketbeyond.com/,info@themarketbeyond.com,+ 1 917-651-0963,,"Eran Dror, Shachar Baryamin, Yuval Yifrach",Venture - Series Unknown,,,,3,Digital Horizon,,,,,4000000,USD,4000000
Singulart,https://www.crunchbase.com/organization/singulart,"E-Commerce, Internet",Singulart is a  convinced that the digital space is an invaluable tool for bringing transparency and equity to the art market.,"15,870",11-50,2019-01-17,2017-01-01,year,https://www.linkedin.com/company/singulart/?originalSubdomain=in,https://www.singulart.com/en/,contact@singulart.com,+44 203 445 6333,,"Brice Lecompte, Denis Fayolle, Vera Kempf",Series A,Early Stage Venture,,,3,"Denis Fayolle, Fonds Ambition Amorçage Angels, Chantal Baudron",,,,,1500000,EUR,1708807
Fourstay,https://www.crunchbase.com/organization/fourstay,"E-Commerce, Education, Internet, Marketplace, Real Estate, Rental, Travel Accommodations",4stay - SaaS enabled online marketplace for student and intern housing.,"15,986",11-50,2019-03-25,2016-06-21,day,https://www.linkedin.com/company/fourstay,https://4stay.com,support@4stay.com,1 202-902-7833,,"Akobir Azamovich, Faridun Nazarov",Seed,Seed,,,2,"Plug and Play, CIT GAP Funds",,,,,400000,USD,400000
Henry & Smith,https://www.crunchbase.com/organization/henry-smith-4db9,"Customer Service, E-Commerce, Lifestyle, Logistics, Machine Learning, Manufacturing, Retail",Leading D2C Brand In Men Bottomwear,"16,417",11-50,2019-02-06,2014-03-01,day,https://www.linkedin.com/company/henry-and-smith,https://henryandsmith.com,nikhil@henryandsmith.com,,,,Seed,Seed,,,,"LetsVenture, WEH Ventures, Rukam Capital Trust",,,,,1000000,USD,1000000
Cookunity,https://www.crunchbase.com/organization/cookunity,"E-Commerce, Food Delivery, Food Processing, Marketplace",Freelance chefs cooking and delivering their healthy specialties in NYC,"16,499",11-50,2019-02-01,2015-01-01,day,,http://www.cookunity.com,info@cookunity.us,(888)221-8187,,"Lucia Cisilotto, Mateo Marietti, Matias Serebrinsky",Venture - Series Unknown,,,,3,"AngelPad, VAS Ventures, Matias de Tezanos, Stella Maris Partners, Invariantes Fund",,,,,1400000,USD,1400000
Brandquad,https://www.crunchbase.com/organization/brandquad-ru,"Computer, E-Commerce, Software",Brandquad.ru is a cloud platform for goods manufacturers that helps to automate the work with commercial content.,"16,508",,2019-01-07,2015-01-01,year,https://www.linkedin.com/company/27051280/,http://brandquad.io/,mail@brandquad.io,+7 (495) 278-1885,,Konstantin Shishkin,Series A,Early Stage Venture,,,1,"Internet Initiatives Development Fund (IIDF), Rutech Ventures, Anatoly Mitroshin",,,,,187500000,RUB,2807613
Paymily,https://www.crunchbase.com/organization/paymily,"Credit Cards, E-Commerce, Mobile, Mobile Apps, PaaS, Payments, QR Codes, SaaS, Web Apps",Paymily is a cloud-based global technology company that provides cross-border mobile and online payments platform.,"16,604",1-10,2019-03-04,2018-11-01,month,,https://www.paymily.com,info@paymily.com,,,,Pre-Seed,Seed,,,,,,,,,100000000,KRW,88558
Kids on 45th,https://www.crunchbase.com/organization/kids-on-45th,"E-Commerce, Fashion, Lifestyle",building a box of kid's everyday essentials with low prices on high quality nearly-new clothing.,"16,649",,2019-04-17,2017-01-01,year,https://www.linkedin.com/company/kidson45th?originalSubdomain=in,https://kidson45th.com/,,,,Elise Worthy,Seed,Seed,,,1,"Liquid 2 Ventures, Sesame Street, Maveron, Collaborative Fund, Brand Foundry Ventures",,,,,3300000,USD,3300000
MassGenie,https://www.crunchbase.com/organization/massgenie,"Artificial Intelligence, Communities, Crowdsourcing, E-Commerce, Group Buying, Machine Learning, Marketplace, SaaS, Social Shopping",SaaS & AI ecommerce solutions for brands and retailers,"16,730",51-100,2019-01-04,2016-04-01,day,https://www.linkedin.com/company/17894197?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_17894197%2Cidx%3A0,http://www.massgenie.com,dandevries@massgenie.com,888-572-6193,,"Bruce Watanabe, Dan DeVries, Thu Truong",Venture - Series Unknown,,,,3,"SV FRONTIER, Bruce Watanabe, Kohei Terada",,,,,1000000,USD,1000000
Zyllem,https://www.crunchbase.com/organization/zyllem,"Delivery, E-Commerce, Information Technology, Internet, Local, Logistics, Supply Chain Management, Transportation","Zyllem is the leading provider of fast, cost-effective, and reliable on demand delivery service in Singapore and Malaysia.","16,956",51-100,2019-02-04,2013-01-01,year,https://www.linkedin.com/company/zyllem,http://www.zyllem.com/,sales@zyllem.com,(656)717-8330,,Noam Berda,Venture - Series Unknown,,,,1,Wavemaker Partners,,,,,,,
InstaFit,https://www.crunchbase.com/organization/instafit,"Apps, E-Commerce, Fitness",InstaFit is an online fitness & nutrition startup focused in Latin America.,"17,295",11-50,2019-03-20,2013-07-23,day,https://www.linkedin.com/company/instafit,http://www.instafit.com,oso@instafit.com,+52 65830428,,"Georg Stockinger, Natalia Amaya Salazar, Oswaldo Trava",Seed,Seed,,,3,"MassChallenge, Start-Up Chile, Manolo Atala, Google Launchpad Accelerator, Social Capital",,,,,100000,USD,100000
"VoiceSell, Inc.",https://www.crunchbase.com/organization/voicesell,"Artificial Intelligence, E-Commerce, Software",PROVIDE CONVERSATIONAL ARTIFICIAL INTELLIGENCE SOFTWARE FOCUSED ON eCOMMERCE ENABLEMENT,"17,463",11-50,2019-05-22,2018-12-01,day,https://www.linkedin.com/company/voicesell,http://www.voicesell.com,info@VoiceSell.com,408-690-2270,,"John Albert, Leslie Spring, Mike McEvoy, Mimi Chen",Seed,Seed,,,4,Channel Mark Investments,,,,,4000000,USD,4000000
Shotang,https://www.crunchbase.com/organization/channelyst,"B2B, E-Commerce, Internet, Logistics",Shotang (Formerly Channelyst) conducts extensive on-field research to bring quality data at your doorstep.,"17,605",11-50,2019-01-01,2013-01-01,year,https://www.linkedin.com/company/shotang-india,http://shotang.com/,support@channelyst.in,+918861209858,,"Anish Basu Roy, Anterpreet Singh",Venture - Series Unknown,,,,2,"Exfinity Venture Partners, Patamar Capital, Touchstone Equities, Microsoft Accelerator Bangalore, Startup Equity Partners",,,,,,,
Vybes,https://www.crunchbase.com/organization/vybes-122b,"E-Commerce, Internet","Vybes is an influencer commerce platform, enabling social media influencers to sell to their followers.","17,654",11-50,2019-04-19,2014-01-01,year,https://www.linkedin.com/company/getvybes/,http://getvybes.co/,,,,"Samuel Lipoff, Wei Qing Jen",Seed,Seed,,,2,"DSG Consumer Partners, Surge Ahead",,,,,2000000,USD,2000000
Monetizr,https://www.crunchbase.com/organization/themonetizr,"Artificial Intelligence, B2B, Blockchain, E-Commerce, FinTech, Gamification, Machine Learning, Mobile, SaaS",Game Reward Engine: Creating new revenue streams for game publishers.,"17,690",1-10,2019-04-11,2016-01-01,year,https://www.linkedin.com/company/themonetizr,https://themonetizr.com,info@monetizr.com,,,"Andris Merkulovs, Martins Bratuskins",Seed,Seed,,,2,"Techstars, Right Side Capital Management, Ethereum Classic Labs, 11-11 Ventures, Alfabeat",,,,,520000,USD,520000
GoTrendier,https://www.crunchbase.com/organization/gotrendier,"E-Commerce, Fashion, Internet",GoTrendier is a fashionable community.,"18,122",,2019-01-29,2016-01-01,year,,https://www.gotrendier.com.co/,,,,David Garzon,Venture - Series Unknown,,,,1,"Antai Venture Builder, IGNIA, Banco Sabadell, Sabadell Venture Capital, Ataria",,,,,3500000,USD,3500000
First Data,https://www.crunchbase.com/organization/first-data,"Advertising, Analytics, E-Commerce, Internet",First Data is a media platform that helps advertisers find online users based on their offline and online purchases.,"18,287",,2019-02-05,,,,http://firstdata.io/,ast@firstdata.io,+79851196224,,,Series A,Early Stage Venture,,,,"Internet Initiatives Development Fund (IIDF), Moscow Seed Fund",,,,,8000000,RUB,121873
Twikit,https://www.crunchbase.com/organization/twikit,"3D Printing, Automotive, E-Commerce, Enterprise Software, Industrial Design, Manufacturing, Medical, Personalization, SaaS, Software","Solutions for advanced product individualization at scale connected to digital manufacturing including 3D printing, CNC, laser cutting,...","18,292",11-50,2019-03-29,2012-11-26,day,https://www.linkedin.com/company/5097629,http://www.twikit.com,info@twikit.com,+32 3 291 55 61,,"Georges Lieben, Gijs Hoppenbrouwers, Martijn Joris",Series A,Early Stage Venture,,,3,Buysse & Partners,,,,,3600000,EUR,4039950
Josh Wood Colour,https://www.crunchbase.com/organization/josh-wood-colour,"E-Commerce, Fashion, Lifestyle",Josh Wood Colour is a European beauty brand.,"18,311",,2019-03-10,2018-02-01,month,,https://joshwoodcolour.com/,,,,Jonathan Davies,Series A,Early Stage Venture,,,1,"Index Ventures, JamJar Investments, Venrex Investment Management",,,,,5000000,GBP,6492536
OPUMO,https://www.crunchbase.com/organization/opumo,"E-Commerce, Fashion, Lifestyle, Marketplace, Retail",OPUMO is building the digital department store of the future connecting brands with customers through a content-rich shopping platform.,"18,551",11-50,2019-05-01,2017-01-19,day,https://www.linkedin.com/company/2677391?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_2677391%2Cidx%3A0,https://www.opumo.com/,hello@opumo.com,+44 (0)203 176 5279,,"Harry Beattie, Nick Ayoub",Seed,Seed,,,2,"Crowdcube, North-East Venture",,,,,809000,GBP,1056006
Wrazel,https://www.crunchbase.com/organization/wrazel,"Angel Investment, Banking, Cannabis, Crowdfunding, E-Commerce, Internet, Small and Medium Businesses, Venture Capital",Cannabis Industry B2B Directory & Investment Marketplace,"18,578",11-50,2019-03-01,2018-01-01,year,https://www.linkedin.com/company/wrazel/,https://wrazel.com/,info@wrazel.com,,,Brian Barbuto,Seed,Seed,,,1,,,,,,3000000,USD,3000000
Go Lama Go,https://www.crunchbase.com/organization/go-lama-go,"E-Commerce, Food and Beverage, Logistics",Go Lama Go is a  Groceries delivery service.,"19,301",,2019-02-07,2017-03-22,day,,https://www.golama.ru/,PR@GOLAMAGO.COM,+7 (495) 620-57-57,,,Seed,Seed,,,,VEB Ventures,,,,,500000000,RUB,7583962
ONO,https://www.crunchbase.com/organization/tretbox,"Automotive, E-Commerce, Last Mile Transportation, Logistics, Transportation",Trailblazing emission-free transportation of goods within cities.,"19,429",11-50,2019-03-05,2016-01-01,year,https://www.linkedin.com/company/ono-motion/,https://onomotion.com/,hello@onomotion.com,,,"Beres Seelbach, Murat Günak, Philipp Kahle",Seed,Seed,,,3,"Volkswagen Group, Swiss Post, Seedmatch, EASME - EU Executive Agency for SMEs, Family Office",,,,,1170000,EUR,1322814
MeetingPackage.com,https://www.crunchbase.com/organization/meetingpackage-com,"E-Commerce, Event Management, Events, Hospitality, Hotel, Marketplace, Meeting Software, SaaS","Global marketplace for searching, booking and managing meeting & event spaces. Also offers a booking technology for venues as a SaaS model.","19,620",11-50,2019-04-17,2014-01-01,year,https://www.linkedin.com/company/meetingpackage-com,http://www.meetingpackage.com,joonas@meetingpackage.com,+358 40 905 2335,,"Joonas Ahola, Saku Loukonen",Seed,Seed,,,2,"Takeoff Partners, Falkensteiner Ventures, Jaakko Ollila, Jani Kaskinen, Andreas Hansson",,,,,1500000,EUR,1694503
TokoTalk,https://www.crunchbase.com/organization/tokotalk,"E-Commerce, Information Technology, Management Information Systems",TokoTalk is an Ease of doing business online according to their needs,"19,819",11-50,2019-04-25,2018-01-01,year,https://www.linkedin.com/company/tokotalk-id/,https://www.tokotalk.com/,help@tokotalk.com,+6281310043373,,,Seed,Seed,,,,Altos Ventures,,,,,3200000,USD,3200000
HOLDEN,https://www.crunchbase.com/organization/holden-2,"E-Commerce, Fashion, Lifestyle",Custom wedding rings for the modern couple.,"20,033",,2019-03-30,2017-07-01,day,https://www.linkedin.com/company/holdenrings/,http://www.hiholden.com,hello@hiholden.com,,,"Andrew Lim, Simon Zhang",Seed,Seed,,,2,KarpReilly,,,,,1000000,USD,1000000
Loop & Tie,https://www.crunchbase.com/organization/loop-and-tie,"Customer Service, E-Commerce, Gift",Loop & Tie makes it easy for companies to connect with customers through gifting.,"20,093",1-10,2019-01-08,2013-05-01,day,https://www.linkedin.com/company/loopandtie/about/,http://www.loopandtie.com,hello@loopandtie.com,,,Sara Rodell,Venture - Series Unknown,,,,1,"Salesforce Ventures, Rise of the Rest, Second Century Ventures, WISE Ventures",,,,,,,
Pixel Union,https://www.crunchbase.com/organization/pixel-union,"E-Commerce, Internet, Web Design","Pixel Union designs custom themes for online platforms, builds custom sites and stores, and offers a range of web services.","20,259",11-50,2019-05-07,2009-01-01,year,,http://pixelunion.net,info@pixelunion.net,,,Andrew Wilkinson,Venture - Series Unknown,M&A,,,1,"BDC Capital, Saltwater Capital, Freemark Partners, Syrus Partners, Teligence Capital",,,,,12000000,USD,12000000
Simplepay Group,https://www.crunchbase.com/organization/simplepay-group,"E-Commerce, Fraud Detection, Mobile Payments, Payments, Transaction Processing",SimplePay is a Sydney Australia-based electronic payments company operating in 12 countries and enabling over 500+ cities to accept payments,"20,358",11-50,2019-03-04,2012-01-01,year,https://www.linkedin.com/company/simplepaygroup/,https://www.simplepaygroup.com/,support@simplepaygroup.com,+61 1300 369 692,,Shadi Haddad,Series A,Early Stage Venture,,,1,Versatile Group,,,,,5000000,USD,5000000
Gravy Live,https://www.crunchbase.com/organization/gravy-live,"Broadcasting, E-Commerce, Marketplace, Online Games, Shopping",Gravy  is a platform for brands and influencers to host Shopping Parties,"20,454",11-50,2019-05-17,2017-01-01,year,https://www.linkedin.com/company/gravy-live-inc./,https://gravy.live/,,,,"Brian Wiegand, Craig Andler, Mark Mcguire",Seed,Seed,,,3,"The Syndicate Fund, Rock River Capital Partners",,,,,,,
"Startbahn, Inc.",https://www.crunchbase.com/organization/startbahn--inc-,"Art, Blockchain, E-Commerce","""Blockchain × Art"", Building an infrastructure for art distribution and evaluation for the future.","20,506",11-50,2019-05-23,2014-03-26,day,https://www.linkedin.com/company/startbahn-inc/,http://startbahn.jp/en,info@startbahn.jp,,,Ono Sawako,Series A,Early Stage Venture,,,1,"SBI Investment, UTEC- University of Tokyo Edge Capital, Dentsu, SX Capital, Inc., Ryutaro Katayama",,,,,360000000,JPY,3286024
The Wedding Brigade,https://www.crunchbase.com/organization/indear,"E-Commerce, Internet, Wedding","Indear.in is your one-stop destination to discover your dream wedding, and make it a reality.","20,528",11-50,2019-03-12,2014-11-01,month,,http://indear.in/,sanna@theweddingbrigade.com,+1(877)-342-7222,,Sanna Vohra,Seed,Seed,,,1,"LetsVenture, Blume Ventures, Keiretsu Forum, AET Fund, Mountain Pine Capital",,,,,1000000,USD,1000000
Homelister,https://www.crunchbase.com/organization/homelister,"E-Commerce, Real Estate","Gives you all the tools you need to sell your home and save money! Get all the tools of a pro, for a fraction of the price.","20,536",1-10,2019-03-28,2015-01-01,year,https://www.linkedin.com/company/homelister/,https://www.homelister.com,,,,Lindsay McLean,Seed,Seed,,,1,"BAM Ventures, Mucker Capital, Stout Street Capital",,,,,2000000,USD,2000000
FoodBoss,https://www.crunchbase.com/organization/foodboss,"Apps, E-Commerce, Food and Beverage, Internet, Mobile Apps",FoodBoss is an all in one online food and alcohol delivery search engine that comprises data from food services companies,"20,709",1-10,2019-03-11,2015-12-01,day,https://www.linkedin.com/company/bootler/,https://www.foodboss.com/,support@foodboss.com,,,Michele di Benedetto,Venture - Series Unknown,,,,1,Cleveland Avenue,,,,,2000000,USD,2000000
Nemuru,https://www.crunchbase.com/organization/nemuru,"E-Commerce, Messaging",Financiación ágil y flexible para tus clientes,"20,854",,2019-05-31,2018-01-01,year,https://www.linkedin.com/company/nemuru/,https://www.nemuru.com/,,,,Pere Monras,Series A,Early Stage Venture,,,1,"Antai Venture Builder, Lánzame Capital SL, Encomenda VC",,,,,1000000,EUR,1119344
LinkApi,https://www.crunchbase.com/organization/linkapi,"Data Integration, Developer APIs, E-Commerce, PaaS, SaaS, Software",LinkApi support business to connect the whole internal and external systems enabling the true digital tranformation,"21,008",51-100,2019-02-21,2017-03-01,day,https://www.linkedin.com/company/linkapi,http://www.linkapi.solutions,communication@linkapi.com.br,+55 11 4118-2901,,"Gabriel Fumagalli, Thiago Lima",Seed,Seed,,,2,"Wayra Mexico, Cassis Capital",,,,,1300000,USD,1300000
Alt Thirty Six,https://www.crunchbase.com/organization/alt36,"Blockchain, Cannabis, E-Commerce, FinTech, Payments, Software",Digital Payments for Cannabis,"21,037",11-50,2019-04-23,2015-03-15,day,https://www.linkedin.com/company/alt-thirty-six,http://www.alt36.com,hello@alt36.com,480.366.6030,,"Ken Ramirez, Lauren Murphy",Series A,Early Stage Venture,,,2,"Dash Core Group, Robert Murphy, Charles Margenthaler",,,,,,,
"Borza Labs, Inc.",https://www.crunchbase.com/organization/borza,"E-Commerce, Information Technology, Internet, Marketplace, SaaS, Software",Digital GTM platform for tech services,"21,043",11-50,2019-03-01,2018-01-01,day,https://www.linkedin.com/company/borzalabs,https://borza.com,info@borza.com,,,"Belinda Batdorf, Shiva Ganesh Bellamkonda, Waseem Bashiti",Angel,Seed,,,3,"Google, IBM, Sequoia Capital (SSF), Waseem Bashiti, Phil Desimone",,,,,530000,USD,530000
OSF Commerce,https://www.crunchbase.com/organization/osf-commerce,"Consulting, E-Commerce, Information Technology",OSF Commerce is transforms ecommerce transactions into engaging customer experiences.,"21,207",,2019-05-07,2003-01-01,year,,https://www.osf-commerce.com/,,(888) 548-4344,,Gerard Szatvanyi,Venture - Series Unknown,,,,1,"Salesforce Ventures, Delta-v Capital",,,,1,23000000,USD,23000000
Sips by,https://www.crunchbase.com/organization/sips-by,"Consumer Goods, E-Commerce, Food and Beverage, Personalization, Subscription Service","Sips by makes discovering great tea fun, personalized, and affordable with a profile-based tea subscription service: the Sips by Box.","21,237",11-50,2019-03-15,2016-11-15,day,https://www.linkedin.com/company/sips-by/,https://www.sipsby.com/,support@sipsby.com,,,"Staci Brinkman, Øivind Loe",Seed,Seed,,,2,,,,,,1000000,USD,1000000
Remodelmate,https://www.crunchbase.com/organization/remodelmate,"Construction, E-Commerce, Home Improvement, Real Estate","A marketplace for buying, selling, and managing home renovations online.","21,831",1-10,2019-04-16,2016-03-16,day,https://www.linkedin.com/company/remodelmate,https://www.remodelmate.com,hello@remodelmate.com,202-670-0272,,chad hall,Seed,Seed,,,1,"TEDCO, CoVenture, Dorm Room Fund, MIT Alumni Angels of DC",,,,,525000,USD,525000
SYNQY Corporation,https://www.crunchbase.com/organization/synqy,"Ad Network, Content Syndication, E-Commerce, Retail Technology, SaaS",Online Retail Media Platform,"21,847",1-10,2019-03-05,2012-08-16,day,http://www.linkedin.com/company/synqy-corporation,http://www.synqy.com,info@synqy.com,925-407-2604,,"John Hoye, Michael Weissman, Nik Chanda",Seed,Seed,,,3,,,,,,1200000,USD,1200000
