Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,Investment Stage,Company Type,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Plum.io,https://www.crunchbase.com/organization/plum-io,"Artificial Intelligence, Enterprise Software, Human Resources, Recruiting, SaaS, Software","Plum combines AI and Industrial/Organizational Psychology to help companies hire, grow, and retain top talent.","7,253",11-50,2019-09-17,2012-01-01,year,,For Profit,http://www.linkedin.com/company/plum-io,http://plum.io/,hello@plum.io,(855) 552-7326,,"Caitlin MacGregor, Christine Bird, Neil MacGregor",Seed,Seed,,,3,"Creative Destruction Lab, Real Ventures, BDC Venture Capital, SAP.iO, Thomvest Ventures",,,,,4200000,USD,4200000
Next Station,https://www.crunchbase.com/organization/next-station,"Recruiting, Staffing Agency",Next Station is a smart recruiting platform.,"41,575",1-10,2019-09-17,2018-01-01,year,,For Profit,https://www.linkedin.com/company/wearenextstation/,https://www.nextstation.com/fr,,,,Clement Aixala,Venture - Series Unknown,,,,1,"Cabiedes & Partners, Denis Fayolle",,,,,1000000,EUR,1107392
Incredible Health,https://www.crunchbase.com/organization/incredible-health,"Health Care, Human Resources, Marketplace, Recruiting","Hospitals and health systems use Incredible Health to hire permanent, high quality clinical workers at scale and in less than 30 days.","2,132",11-50,2019-09-12,2017-01-01,year,,For Profit,https://www.linkedin.com/company/incrediblehealth/,https://www.IncredibleHealth.com,hello@incrediblehealth.com,888 410 1479,,"Iman Abuzeid, Rome Portlock",Series A,Early Stage Venture,,,2,"Andreessen Horowitz, iAngels, Obvious Ventures, NFX, Precursor Ventures",,,,,15000000,USD,15000000
Agave,https://www.crunchbase.com/organization/agave,"Recruiting, Staffing Agency",Agave is a free hiring platform that offers job postings.,"18,497",1-10,2019-09-06,2018-01-01,day,,For Profit,https://www.linkedin.com/company/agave-web/,https://www.agave.com/,help@agave.com,+1 630-605-5753,,Jared Tame,Venture - Series Unknown,,,,1,"BoxGroup, SV Angel",,,,,1000000,USD,1000000
DreamJo.bs,https://www.crunchbase.com/organization/dreamjo-bs,"Recruiting, Search Engine",DreamJo.bs help you to really see the company you are applying for and to find a job that you will love!,"67,368",,2019-09-06,2016-01-01,year,,For Profit,https://www.linkedin.com/company/dreamjo.bs/,https://dreamjo.bs/en,hello@dreamjo.bs,,,"Maria Balogh-Mázi, Peter Balogh",Seed,Seed,,,2,"Hiventures Investment Fund, Baconsult",,,,,400000,USD,400000
Dover,https://www.crunchbase.com/organization/dover-37be,"Consulting, Recruiting, Software",Dover finds and engages the best candidates for your team.,"15,085",1-10,2019-09-05,2019-01-01,year,,For Profit,https://www.linkedin.com/company/doverhq,https://dover.io,hello@dover.io,,,"Anvisha Pai, George Carollo, Max Kolysh",Seed,Seed,,,3,"Y Combinator, Pioneer Fund, Backend Capital",,,,,,,
RippleMatch,https://www.crunchbase.com/organization/ripplematch,"Consulting, Delivery, Education, Employment, Enterprise Software, Human Resources, Recruiting, Software",RippleMatch helps entry-level candidates find their dream jobs.,"31,107",11-50,2019-09-05,2016-06-01,month,,For Profit,https://www.linkedin.com/company/ripplematch/,https://ripplematch.com/,info@ripplematch.com,,,"Andrew Myers, Eric Ho",Series A,Early Stage Venture,,,2,"Alumni Ventures Group, Accomplice, Bullpen Capital, G20 Ventures, Work-Bench",,,,,6000000,USD,6000000
Recruitery,https://www.crunchbase.com/organization/recruitery,"Information Technology, Marketplace, Recruiting, Social Recruiting, Software",A talent referral platform where everyone can refer candidates for company to win attractive rewards.,"51,294",1-10,2019-09-05,2018-09-01,day,,For Profit,https://www.linkedin.com/company/13760556/,https://recruitery.co/,hello@recruitery.co,+84 776756799,,Toan Nguyen-Van,Seed,Seed,,,1,Insignia Ventures Partners,,,,,50000,USD,50000
Global Mobility Service,https://www.crunchbase.com/organization/global-mobility-service,"Automotive, Recruiting, Staffing Agency",Global Mobility Service is a financial service company.,"26,405",,2019-09-02,2013-11-25,day,,,https://www.linkedin.com/company/global-mobility-service-inc,http://www.global-mobility-service.com/,,,,Oshima Marei,Series D,Late Stage Venture,,,1,"SoftBank, SBI Investment, Globis Capital Partners, Sumitomo Corporation, Credit Saison",,,,,1700000000,JPY,16010599
Anycareer,https://www.crunchbase.com/organization/anycareer,"Career Planning, EdTech, Machine Learning, Recruiting",Careers taken to whole new levels.,"45,319",11-50,2019-09-01,2018-04-10,day,,For Profit,https://linkedin.com/company/anycareer,https://anycareer.com,hello@anycareer.com,+44 20 3488 1845,,"Oliver Horvei, Simon Skuggevik",Seed,Seed,,,2,Balder Vekst,,,,,,,
Revelo,https://www.crunchbase.com/organization/revelo,"B2B, Human Resources, Marketplace, Recruiting",Revelo puts outstanding candidates at the very center of their job search.,"6,361",101-250,2019-08-30,2015-01-01,year,,For Profit,https://www.linkedin.com/company/revelo-vagas/,https://www.revelo.com.br,info@revelo.com.br,+55 11 3571-6651,,"Lachlan de Crespigny, Lucas Mendes",Series B,Early Stage Venture,,,2,"FJ Labs, Valor Capital Group, GE32 Capital, Google Launchpad Accelerator, Social Capital",,,,,15000000,USD,15000000
Emi Labs,https://www.crunchbase.com/organization/emi-2,"Artificial Intelligence, Employment, Enterprise, Human Resources, Recruiting, Software",Conversational AI platform for HR teams (Y Combinator W19 batch).,"15,995",1-10,2019-08-29,2017-01-01,year,,For Profit,https://www.linkedin.com/company/holaemi-com/,http://www.emilabs.ai/,info@holaemi.com,,,"Andres Arslanian, Mateo Cavasotto",Seed,Seed,,,2,"Y Combinator, Khosla Ventures, Pioneer Fund, Vira Ventures",,,,,2000000,USD,2000000
Whyapply,https://www.crunchbase.com/organization/whyapply,"Advertising, Human Resources, Internet, Marketing, Recruiting, Staffing Agency",Whyapply is a new approach how to attract talent with real content and performance marketing instead of standardized job ads.,"143,696",,2019-08-28,2017-01-01,year,,,https://www.linkedin.com/company/innovailably-gmbh/,https://whyapply.de/,,,,"Michael Benz, Ronald Scholz",Seed,Seed,,,2,Next Media Accelerator,,,,,,,
Entelo,https://www.crunchbase.com/organization/entelo,"Enterprise Software, Human Resources, Recruiting, SaaS, Software","Entelo's recruiting platform enables top talent professionals to find, qualify, and engage with top talent.","2,925",101-250,2019-08-26,2011-05-01,day,,For Profit,http://www.linkedin.com/company/entelo,http://www.entelo.com,contact@entelo.com,(415)689-7774,,"John McGrath, Jon Bischke",Venture - Series Unknown,,,,2,"Battery Ventures, Shasta Ventures, U.S. Venture Partners (USVP), Menlo Ventures, Correlation Ventures",,,,1,,,
Axon,https://www.crunchbase.com/organization/axon,"eSports, Gaming, Recruiting, Social Network",The esports recruiting network.,"105,311",1-10,2019-08-26,2019-01-01,year,,For Profit,https://www.linkedin.com/company/axongaming/,https://Axon.gg,contact@axon.gg,,,Dominique Pennington,Pre-Seed,Seed,,,1,"Right Side Capital Management, Boomtown Accelerators",,,,,,,
AgTalent,https://www.crunchbase.com/organization/agtalent,"Agriculture, AgTech, Farming, Human Resources, Recruiting, Training","AgTalent  is a digital marketplace for training, recruitment and expert services in the sustainable and regenerative agriculture sector.","66,500",1-10,2019-08-20,2018-01-01,year,,For Profit,https://www.linkedin.com/company/agtalent-global/,https://agtalent.co/,admin@agtalent.com,,,Lachy Ritchie,Seed,Seed,,,1,Wide Open Agriculture,,,,,150000,USD,150000
Joblift,https://www.crunchbase.com/organization/joblift,"Artificial Intelligence, Online Portals, Recruiting",Joblift is a job search platform providing candidates with the most intuitive and frictionless experience during the recruiting process.,"4,478",101-250,2019-08-19,2015-01-01,year,,For Profit,https://www.linkedin.com/company/10456725/,https://joblift.de/,info@joblift.co.uk,+49040211076202,,Lukas Erlebach,Series B,Early Stage Venture,,,1,"Picus Capital, Cherry Ventures, TA Ventures, DN Capital, btov Partners",,,,,15000000,EUR,16622248
Flo Recruit,https://www.crunchbase.com/organization/flo-recruit,"College Recruiting, Human Resources, Recruiting","Personal, human recruiting at scale.","20,913",1-10,2019-08-19,2016-05-01,day,,For Profit,https://www.linkedin.com/company/florecruit/,http://florecruit.com,katherine@florecruit.com,,,"Atreya Misra, Katherine Allen",Seed,Seed,,,2,"Y Combinator, Dorm Room Fund, Steven Hicks, DisrupTexas",,,,,150000,USD,150000
Alana,https://www.crunchbase.com/organization/alana,"Human Resources, Recruiting, SaaS","Alana is a jobs marketplace for Hotels, Stores, and Restaurants in LATAM.","27,395",1-10,2019-08-19,2017-01-01,day,,For Profit,https://www.linkedin.com/company/alana.jobs/about/,https://www.alana.jobs,hola@alana.jobs,+5215576723821,,"Daniel Bernardez, Ignacio Martinez, Rafael Leon",Seed,Seed,,,3,,,,,,150000,USD,150000
Nomad Health,https://www.crunchbase.com/organization/nomad-health,"Health Care, Hospital, Marketplace, Recruiting",Nomad Health is an online marketplace for healthcare jobs.,"31,872",101-250,2019-08-15,2015-01-01,year,,For Profit,https://www.linkedin.com/company/nomad_health,https://nomadhealth.com/,info@nomadhealth.com,(866) 656-6623,Pledge 1%,"Alexi Nazem, Kevin Ryan, Maxwell Laurens, Ryan Grant, Zander Pease",Venture - Series Unknown,,,,5,"Silicon Valley Bank, RRE Ventures, First Round Capital, Polaris Partners, Grand Central Tech",,,,,34000000,USD,34000000
Neufast Limited,https://www.crunchbase.com/organization/neufast,"Artificial Intelligence, Human Resources, Natural Language Processing, Predictive Analytics, Recruiting, Software",Neufast is an AI-powered video interviewing solution provider for faster and cheaper talent assessment in APAC & China.,"42,958",1-10,2019-08-15,2018-04-23,day,,For Profit,https://www.linkedin.com/company/neufast-neucareers/,https://www.neufast.com/,info@neufast.com,+852-5987-6904,,"Agnes Wun, Dennis Lee",Seed,Seed,,,2,"SOSV, Chinaccelerator",,,,,150000,USD,150000
DirectShifts,https://www.crunchbase.com/organization/directshifts,"Health Care, Recruiting",DirectShifts is a team of physicians and entrepreneurs who have come together to solve a major pain point facing medical professionals .,"105,350",,2019-08-15,,,,,,https://www.directshifts.com/,,,,,Seed,Seed,,,,Pioneer Fund,,,,,,,
MEDIJobs,https://www.crunchbase.com/organization/medijobs,"Career Planning, Employment, Health Care, Marketplace, Recruiting",Career marketplace for healthcare recruiting,"26,703",11-50,2019-08-07,2015-01-01,year,,For Profit,https://www.linkedin.com/company/medijobs/,https://www.medijobs.ro/,office@medijobs.ro,,,"Catrinel Hagivreta, George Hagivreta",Seed,Seed,,,2,"Techstars, Gapminder VC",,,,,900000,USD,900000
Rize Health,https://www.crunchbase.com/organization/rize-health,"Artificial Intelligence, Clinical Trials, Cloud Management, Health Care, Information Technology, Machine Learning, Marketplace, Recruiting, Software",Clinical trials on demand.,"110,407",1-10,2019-08-07,2019-02-13,day,,For Profit,https://www.linkedin.com/company/rizehealth/,https://www.rizehealth.ca/,contact@rizehealth.ca,+447729794748,,Adrian Ferreira,Seed,Seed,,,1,"SOSV, RebelBio",,,,,,,
WOBB,https://www.crunchbase.com/organization/wobb,"Human Resources, Recruiting, Staffing Agency",A recruitment platform that helps young businesses in Malaysia use their work culture to attract great people to join them.,"36,120",1-10,2019-08-05,2014-09-29,day,,For Profit,https://www.linkedin.com/company/wobb,http://www.wobb.my,hello@wobb.my,+603-7732 6162,,Derek Toh,Seed,Seed,,,1,"Accord Ventures, Cradle Fund Sdn Bhd (Cradle), CAC CAPITAL, Actcelerate International Group",,,,,1300000,USD,1300000
Fuel50,https://www.crunchbase.com/organization/fuel50,"Career Planning, Cloud Computing, Employee Benefits, Employment, Human Resources, Recruiting, SaaS, Software, Training","Fuel50 increases employee engagement and retention with gamified career growth tools for career visibility, leader coaching, and more.","5,971",11-50,2019-08-01,2013-01-01,year,,,https://go.fuel50.com/li,https://fuel50.com,engage@fuel50.com,+1 833 844 1103,,"Anne Fulton, Jo Mills",Series B,Early Stage Venture,,,2,"Bonfire Ventures, PeakSpan Capital, Rincon Venture Partners, Enterprise Angels",,,,,14000000,USD,14000000
WORK180,https://www.crunchbase.com/organization/work180,"Recruiting, Staffing Agency", WORK180 is a jobs platform with a difference.,"29,042",11-50,2019-08-01,2015-01-01,year,,,https://www.linkedin.com/company/diverse-city-careers/,https://www.work180.com.au/,hello@work180.co,(07) 3289 5040,,Valeria Ignatieva,Venture - Series Unknown,,,,1,"Investible, Giant Leap Fund, Skip Capital, Startmate, Thomas Rice",,,,,2200000,USD,2200000
Harver,https://www.crunchbase.com/organization/harver,"Employee Benefits, Employment, Predictive Analytics, Recruiting","Harver is a full suite candidate selection platform designed to enable innovative companies around the world to hire better, faster.","3,975",51-100,2019-07-31,2010-01-01,year,,For Profit,https://www.linkedin.com/company-beta/2582700/,https://www.harver.com,info@harver.com,+31202400210,,Barend Raaff,Series B,Early Stage Venture,,,1,"Insight Partners, Acrobator Ventures | Acrobator.vc, Bas Godska",,,,,15000000,USD,15000000
Active and Company,https://www.crunchbase.com/organization/active-and-company,"Content, Recruiting, Task Management",Active and Company is an extension of the history of human resource management,"226,907",,2019-07-31,2006-05-01,day,,,,http://www.aand.co.jp/,,,,Towa Ito,Venture - Series Unknown,,,,1,"Mynavi, JBA Group",,,,,,,
Brilliant Hire by SAP,https://www.crunchbase.com/organization/brillianthire-by-sap,"Cloud Computing, Enterprise Software, Human Resources, Recruiting, SaaS",Brilliant Hire is a recruiting solution for efficient and unbiased candidate screening.,"28,700",1-10,2019-07-30,2018-01-01,month,,For Profit,https://www.linkedin.com/company/brilliant-hire-by-sap,https://www.brillianthire.io/,hello@brillianthire.io,,,"Appaiah Ganapathy, Hermant Shetty, Shwetha PB",Seed,Seed,,,3,,,,,,1000000,USD,1000000
Wantedlab,https://www.crunchbase.com/organization/wanted-lab,"Employment, Human Resources, Recruiting",Wanted is Asia’s first referral-based recruiting platform,"11,156",51-100,2019-07-29,2015-01-01,year,,For Profit,https://www.linkedin.com/company/10431988,http://www.wanted.jobs,cs@wantedlab.com,(822)539-7117,,"Bokkee Lee, Reagan Hwang, Sehoon Kim",Series B,Early Stage Venture,,,3,"Mirae Asset Venture Investment, Industrial Bank of Korea, Stonebridge Capital, SparkLabs Accelerator, Korea Development Bank",,,,,10000000,USD,10000000
WorkEx,https://www.crunchbase.com/organization/workex,"Human Resources, Recruiting",WorkEx is a human digital resources platform.,"11,439",51-100,2019-07-26,2017-01-01,year,,,https://www.linkedin.com/company/workexsolutions/?originalSubdomain=in,https://www.workex.jobs/,support@workex.xyz,+91 95134 50026,,"Anupam Acharya, Nimish Sharma, Tarun Baloch",Series A,Early Stage Venture,,,3,Pravega Ventures,,,,,4000000,USD,4000000
RIVS,https://www.crunchbase.com/organization/rivs,"Apps, Career Planning, Cloud Computing, Enterprise Software, Human Resources, Recruiting, SaaS, Software","RIVS is web software facilitating voice and video interviews, job application management, and efficient hiring.","16,814",11-50,2019-07-24,2011-01-01,year,,,http://www.linkedin.com/company/rivs-com,https://www.rivs.com/,contactus@rivs.com,312-583-7499,,David Wieland,Private Equity,M&A,,,1,"IrishAngels, Clovis Point Capital, Ringleader Ventures",,,,3,,,
INNOVIA Japan,https://www.crunchbase.com/organization/innovia-japan,"Artificial Intelligence, Recruiting, Task Management",Inobia is a Human Resource Development Support System.,"58,282",,2019-07-19,,,,,,http://www.innovia.jp/,,,,,Venture - Series Unknown,,,,,"Genesia Ventures, Japan Finance Corporation, Incubate Fund",,,,,120000000,JPY,1114050
Built In,https://www.crunchbase.com/organization/built-in,"Communities, Employment, News, Recruiting, SaaS",Built In is a network of online communities for tech companies and startups.,"1,431",51-100,2019-07-16,2010-10-01,day,,For Profit,https://www.linkedin.com/company/3763094,https://builtin.com/,support@builtinaustin.com,,,"Adam Calica, Maria Christopoulos Katris, Maria Katris, Matt Moog",Series C,Late Stage Venture,,,4,"Dundee Venture Capital, Invenergy, Updata Partners, Pritzker Group Venture Capital, David Cohen",,,,,22000000,USD,22000000
HAB&Co Japan,https://www.crunchbase.com/organization/hab-co-japan,"Career Planning, Media and Entertainment, Recruiting",HAB&Co is a Notification telecommunications carrier & IT introduction support business.,"70,669",,2019-07-13,2017-08-15,day,,For Profit,,https://hab-co.jp/,,81 97-578-9255,,,Seed,Seed,,,,Oita Venture Capital,,,,,30000000,JPY,277996
Glints,https://www.crunchbase.com/organization/glints,"Education, Human Resources, MOOC, Recruiting, Software",Glints provides a talent recruitment and job matching platform designed to bridge the gap between education and employment.,"6,377",51-100,2019-07-11,2013-01-01,year,,For Profit,https://www.linkedin.com/company/glints/,https://glints.com/,hi@glints.com,(650)924-5624,,"Oswald Yeo Hexiang, Qin En Looi, Steve Anderson Sutanto, Ying Cong Seah",Series B,Early Stage Venture,,,4,"500 Startups, East Ventures, Monk’s Hill Ventures, Golden Equator Capital, Wavemaker Partners",,,,,6800000,USD,6800000
Imployable,https://www.crunchbase.com/organization/imployable,"E-Learning, EdTech, Education, Employment, Information Technology, Recruiting","Mobile first technology that allows people to identify, map and track their way to a new career","22,321",11-50,2019-07-10,2017-07-31,day,,For Profit,https://www.linkedin.com/company/fourwho-imployable/,https://imployable.me/,Peter.kelly@imployable.me,01752692225,,"Kieron Yeoman, Peter Kelly",Equity Crowdfunding,,,,2,"Crowdcube, Twister Capital, David Young, David Pearce, Joules Kylie",,,,,223050,GBP,278948
Wirkn,https://www.crunchbase.com/organization/wirkn,"Artificial Intelligence, Human Resources, Mobile, Recruiting","End to End Mobile, Video and AI Solution for Recruiting and Connnecting your WorkPlace","30,067",11-50,2019-07-09,2014-09-01,day,,For Profit,http://www.linkedin.com/company/wirkn,http://www.wirkn.com,todd@wirkn.com,(416) 999-3195,,"Francois Jobin, Todd Dean",Debt Financing,Seed,,,2,"Flow Capital, Kinetic, David Henning, Howard Stotland",,,,,,,
JobShine.sg,https://www.crunchbase.com/organization/jobshine-sg,"Advertising, Employment, Human Resources, Recruiting, Web Apps",We are Singapore based HRTech start-up focuses on blue collar job market,"56,578",1-10,2019-07-08,2019-07-19,day,,For Profit,https://www.linkedin.com/company/28720335/,http://www.jobshine.sg,hi@jobshine.sg,+6597613648,,Kugatharshine Selvaratnam,Grant,,,,1,,,,,,30000,SGD,22059
Conectate Today,https://www.crunchbase.com/organization/conectate-today,"Recruiting, SaaS, Social Network, Social Recruiting","Conectate Today is an end-to-end recruiting platform to find, engage, and hire great talent.","56,329",1-10,2019-07-07,2017-07-07,day,,For Profit,https://www.linkedin.com/company/conectatetoday/,https://www.conectate.today/,info@conectate.today,+50242112306,,,Seed,Seed,,,,,,,,,100000,USD,100000
Sama,https://www.crunchbase.com/organization/sama,"Construction, Human Resources, Recruiting, Staffing Agency","At Sama, we’re reimagining migrant recruitment for the 21st century, starting with the construction industry.","100,601",1-10,2019-07-04,2019-01-01,year,,For Profit,https://www.linkedin.com/company/workwithsama/about/,https://sama.jobs,founders@sama.jobs,,,"Kirtan Patel, Nemanja Grujičić",Pre-Seed,Seed,,,2,Antler,,,,,,,
Talmix,https://www.crunchbase.com/organization/talmix,"Consulting, Enterprise Software, Human Resources, Management Consulting, Recruiting, Small and Medium Businesses","Talmix instantly matches client requirements to independent business talent from its global pool of 40,000 consultants.","11,066",11-50,2019-07-01,2010-01-01,year,,For Profit,http://www.linkedin.com/company/talmix,http://www.talmix.com,info@talmix.com,+44(0)20 3176 5615,,Daniel Callaghan,Series A,Early Stage Venture,,,1,"MMC Ventures, Cabiedes & Partners, Piton Capital, VentureFounders, Finaves S.C.R.",,,,,1100000,GBP,1390899
APPII,https://www.crunchbase.com/organization/appii,"Blockchain, Employment, Ethereum, FinTech, Identity Management, Information Technology, Marketing, Recruiting, Staffing Agency","Using blockchain technology to quickly and simply verify identities, backgrounds (such as criminal history) and career history (CV / Resume)","18,122",1-10,2019-07-01,2016-03-15,day,,For Profit,https://www.linkedin.com/company/appii?trk=top_nav_home,http://www.appii.io/,info@appii.io,+44 203 239 2770,,"Adi Ben-Ari, Brian McNulty, Gary McKay",Seed,Seed,,,3,,,,,,,,
Clever Connect,https://www.crunchbase.com/organization/clever-connect,"Consulting, Human Resources, Information Technology, Recruiting, Staffing Agency",Clever Connect is a HR tech startup.,"29,049",51-100,2019-06-28,2010-01-01,year,,,https://www.linkedin.com/company/cleverconnect/,http://www.cleverconnect.com/,contact-commercial@cleverconnect.com,01 56 92 31 00,,"Gonzague Lefebvre, Louis Coulon, Marko Vujasinovic",Venture - Series Unknown,,,,3,Sofiouest,,,,,5500000,EUR,6258534
TalentRocket,https://www.crunchbase.com/organization/talent-rocket,"Information Technology, Internet, Recruiting",Talent Rocket is a job search engine that enables its users to find jobs with a suitable work environment for them.,"88,841",1-10,2019-06-28,2015-02-10,day,,For Profit,https://www.linkedin.com/company/talentrocket,http://talentrocket.co.uk/,hello@talentrocket.co.uk,,,"Christopher Platts, Mark Hla",Venture - Series Unknown,,,,2,"MassChallenge, BayBG",,,,,,,
Florence,https://www.crunchbase.com/organization/florence,"Information Technology, Marketplace, Recruiting",Florence is an app that connects nursing home managers directly to local registered nurses and carers looking for extra shifts.,"6,422",11-50,2019-06-27,2016-11-01,month,,For Profit,https://www.linkedin.com/company/weareflorence/,https://www.florence.co.uk,hello@florence.co.uk,+44 (0) 20 3911 2555,,"Charles Armitage, Dan Blake",Series A,Early Stage Venture,,,2,,,,,,5000000,GBP,6336798
MoBerries,https://www.crunchbase.com/organization/moberries,"Employment, Human Resources, Recruiting",MoBerries is a network that connects companies and professionals.,"14,151",11-50,2019-06-25,2015-01-01,year,,For Profit,https://www.linkedin.com/company/moberries/,https://www.moberries.com,support@moberries.com,49017627817262,,"Andre Zayarni, Mo Moubarak, Terence Hielscher",Seed,Seed,,,3,"High-Tech Grunderfonds, 42CAP, Michael Brehm, LITTLEROCK, Roman Kirsch",,,,,,,
Poption,https://www.crunchbase.com/organization/koble,"Enterprise Applications, Human Resources, Recruiting, SaaS, Software",Poption is a marketplace for campus recruiting – connecting companies and students.,"34,988",1-10,2019-06-24,2017-12-01,month,,For Profit,https://www.linkedin.com/company/11358954/,https://www.poption.com,hello@poption.com,+47 993 77 443,,"Jon Eide Johnsen, Petter Haga",Venture - Series Unknown,,,,2,"StartupLab, Skyfall Ventures",,,,,3000000,NOK,353718
Maia,https://www.crunchbase.com/organization/maia-3228,Recruiting,Maia is a candidate remarketing platform for employers.,"48,256",1-10,2019-06-17,2019-01-01,day,,For Profit,https://www.linkedin.com/company/maia-labs/about,https://www.maialabs.com/,sam@maialabs.com,,,Sam Fitzroy,Seed,Seed,,,1,Entrepreneurs Roundtable Accelerator,,,,,100000,USD,100000
Leading Mark,https://www.crunchbase.com/organization/leading-mark,"Education, Employment, Human Resources, Internet, Location Based Services, Recruiting","Leading Mark, a rising human resources startup in Japan","66,070",,2019-06-14,2011-01-01,year,,For Profit,,http://www.leadingmark.jp/,,+81354286292,,,Series B,Early Stage Venture,,,,"East Ventures, SMBC Venture Capital, CyberAgent Capital, Nippon Venture Capital, Mizuho Capital",,,,,130000000,JPY,1197439
Rota,https://www.crunchbase.com/organization/rota,"Apps, Marketplace, Recruiting, Staffing Agency",Rota is an innovative hospitality staffing app.,"57,207",11-50,2019-06-13,2015-09-10,day,,For Profit,https://www.linkedin.com/company/rota/,http://www.rota.com/,helpdesk@rota.com,+44 (0)20 8004 3466,,"Nick Bolton, Tom Williams, Will Taylor",Seed,Seed,,,3,Conviction Investment Partners,,,,,820000,GBP,1039693
Equality Check,https://www.crunchbase.com/organization/equality-check,"Consumer Reviews, Human Resources, Information Technology, Recruiting",Equality Check is a community based platform of reviews about equality and diversity in the workplace.,"116,082",1-10,2019-06-12,2018-03-17,day,,For Profit,https://www.linkedin.com/company/equalitycheck,https://www.equalitycheck.it/home,hello@equalitycheck.it,,,"Isabelle Kristine Ringnes, Marie Louise Sunde",Seed,Seed,,,2,Antler,,,,,,,
Platzi,https://www.crunchbase.com/organization/platzi,"Education, Edutainment, Recruiting, Training","Platzi is an effective online education platform that offers classes on marketing, learn coding, business, and design.","5,492",101-250,2019-06-07,2012-07-01,month,,For Profit,https://www.linkedin.com/school/platzi-inc,https://platzi.com,team@platzi.com,(347) 329-5509,,"Christian Van Der Henst, John Freddy Vega",Series A,Early Stage Venture,,,2,"Y Combinator, 500 Startups, FundersClub, Omidyar Network, Foundation Capital",,,,,6000000,USD,6000000
Riviera,https://www.crunchbase.com/organization/riviera-partners,"Enterprise Software, Recruiting, SaaS, Search Engine, Software, Venture Capital",Riviera is an innovative talent curation firm that is changing the face of recruiting by blending technology with recruiter expertise.,"7,380",51-100,2019-06-05,2002-04-01,day,,For Profit,https://www.linkedin.com/company/riviera-partners,http://www.rivierapartners.com,contact@rivierapartners.com,,,"Ali Behnam, Michael A. Morell",Private Equity,Private Equity,,,2,"Kayne Anderson Capital Advisors, ROCA Partners",,,,2,25000000,USD,25000000
AllyO,https://www.crunchbase.com/organization/allyo,"Artificial Intelligence, Human Resources, Machine Learning, Natural Language Processing, Recruiting, SaaS","AllyO tackles workplace engagement challenges, from hi to goodbye through the world's first AI powered HR Communications Platform.","27,340",101-250,2019-06-05,2015-01-01,year,,For Profit,https://www.linkedin.com/company/allyo/,https://www.allyo.com/,hello@allyo.com,2146807720,,"Ankit Somani, Sahil Sahni",Series B,Early Stage Venture,,,2,"Bain Capital Ventures, Sapphire Ventures, Scale Venture Partners, Cervin Ventures, Square 1 Bank",,,,,45000000,USD,45000000
Findy Japan,https://www.crunchbase.com/organization/findy-japan,"Career Planning, Media and Entertainment, Recruiting",Findy is a Japanese company once surprised the world by sending out products such as cars and home appliances one after another,"51,816",,2019-06-05,2016-06-01,day,,,,https://findy.co.jp/,,,,,Venture - Series Unknown,,,,,Global Brain Corporation,,,,,200000000,JPY,1846304
jobRely,https://www.crunchbase.com/organization/jobrely,"Artificial Intelligence, Human Resources, Information Technology, Recruiting",jobRely assists tech startup founders with technology and human intelligence to enable precision recruiting.,"148,734",1-10,2019-06-03,2017-02-01,month,,For Profit,https://www.linkedin.com/company/jobrely/,https://www.jobrely.com/,info@jobrely.com,+1 (415) 450 -1227,,"Indre Bruzgyte, Žilvinas Gadliauskas",Pre-Seed,Seed,,,2,,,,,,,,
Chesky,https://www.crunchbase.com/organization/chesky,"Marketplace, Recruiting, Software, Software Engineering",Chesky is an easiest way to prepare for a technical interview.,"35,569",1-10,2019-06-01,2019-06-27,day,,For Profit,,http://www.chesky.ai,,,,,Seed,Seed,,,,,,,,,7000000,USD,7000000
Diversified Search,https://www.crunchbase.com/organization/diversified-search,"Consulting, Recruiting, Staffing Agency","Diversified Search, They employ a highly collaborative approach to each search assignment.","146,393",51-100,2019-06-01,1974-01-01,year,,For Profit,https://www.linkedin.com/company/40463,http://www.divsearch.com/,steve.morreale@divsearch.com,(215)568-8399,,,Private Equity,Private Equity,,,,ShoreView Industries,,,,3,,,
UPTOO,https://www.crunchbase.com/organization/uptoo-171f,"Recruiting, Staffing Agency","UPTOO is the recruiting platform for sales representatives and sales managers across the entire territory, and in all sectors.","138,363",101-250,2019-05-31,2005-01-01,year,,,https://in.linkedin.com/company/uptoo,https://www.uptoo.fr/,contact@uptoo.fr,+33 1 40 06 03 93,,,Private Equity,Private Equity,,,,Ardian,,,,,,,
SmartRecruiters,https://www.crunchbase.com/organization/smartrecruiters,"Enterprise Software, Recruiting, SaaS, Social Recruiting","SmartRecruiters is an end-to-end recruiting platform to find, engage, and hire talent.","1,650",101-250,2019-05-29,2010-09-01,day,,For Profit,http://www.linkedin.com/company/smartrecruiters,http://www.smartrecruiters.com,marketing@smartrecruiters.com,1(415)659-9130,Pledge 1%,Jerome Ternynck,Series D,Late Stage Venture,,,1,"Salesforce Ventures, Insight Partners, Mayfield Fund, Rembrandt Venture Partners, Counterview Capital",,,,1,50000000,USD,50000000
